asset_type,reason_code,original_audio_language,source_language,target_language,tat_coef_count,tat_coef_mean,tat_coef_std,tat_coef_min,tat_coef_median,tat_coef_max
CLOSED_CAPTIONING,RUSH,de,en,en-GB,1,0.0,,0.0,0.0,0.0
CLOSED_CAPTIONING,RUSH,en,en,cs,10,3.25,2.1505813167606567,1.0,2.25,7.0
CLOSED_CAPTIONING,RUSH,en,en,en,58,2.4482758620689653,1.500554444818074,0.0,2.0,6.5
CLOSED_CAPTIONING,RUSH,en,en,hu,4,2.25,1.2583057392117916,1.0,2.0,4.0
CLOSED_CAPTIONING,RUSH,en,en,pt-BR,5,3.0,1.0,2.0,3.0,4.0
CLOSED_CAPTIONING,RUSH,es,en,en,53,1.3474842767295598,0.992995749222785,0.0,1.0,4.0
CLOSED_CAPTIONING,RUSH,es-ES,en,en,5,7.8,0.44721359549995787,7.0,8.0,8.0
CLOSED_CAPTIONING,RUSH,fr,en,en,5,1.3,0.4472135954999579,1.0,1.0,2.0
CLOSED_CAPTIONING,RUSH,ja,en,en,2,1.25,0.3535533905932738,1.0,1.25,1.5
CLOSED_CAPTIONING,RUSH,ko,en,en,8,1.4520833333333334,1.2137256528216995,0.3333333333333333,0.875,3.3333333333333335
CLOSED_CAPTIONING,RUSH,pl,en,en,19,0.8947368421052632,0.8093026382225119,0.0,1.0,2.0
CLOSED_CAPTIONING,RUSH,pt-BR,en,en,1,0.0,,0.0,0.0,0.0
CLOSED_CAPTIONING,STANDARD,--,en,en,2,0.675,0.1060660171779821,0.6,0.675,0.75
CLOSED_CAPTIONING,STANDARD,de,de,de,20,2.2375,1.5054178472227706,1.0,1.5,6.5
CLOSED_CAPTIONING,STANDARD,de,en,de,3,3.25,1.5612494995995996,2.0,2.75,5.0
CLOSED_CAPTIONING,STANDARD,de,en,en,7,0.8112244897959184,0.40757823719667124,0.25,0.75,1.4285714285714286
CLOSED_CAPTIONING,STANDARD,de,en,en-GB,4,0.6875,0.125,0.5,0.75,0.75
CLOSED_CAPTIONING,STANDARD,en,en,cs,19,1.6197577276524644,1.767256416575166,0.4,1.0,8.25
CLOSED_CAPTIONING,STANDARD,en,en,de,13,1.0353479853479852,0.683908865364526,0.0,0.75,2.25
CLOSED_CAPTIONING,STANDARD,en,en,en,499,2.996292585170341,3.718679129654956,0.0,2.0,21.0
CLOSED_CAPTIONING,STANDARD,en,en,hu,15,4.515740740740741,2.698332505422146,1.0,5.375,8.25
CLOSED_CAPTIONING,STANDARD,en,en,it,2,1.4375,0.2651650429449553,1.25,1.4375,1.625
CLOSED_CAPTIONING,STANDARD,en,en,pl,9,5.6346560846560845,2.181825604685622,1.2,6.0,8.333333333333334
CLOSED_CAPTIONING,STANDARD,en,en,pt-BR,3,2.928571428571429,3.0962452573847488,1.0,1.2857142857142858,6.5
CLOSED_CAPTIONING,STANDARD,en-GB,en-GB,en-GB,15,3.466666666666667,2.4746332099544617,1.0,3.0,9.0
CLOSED_CAPTIONING,STANDARD,es,en,en,54,1.0951058201058201,2.0006016276616116,0.0,0.6458333333333333,14.333333333333334
CLOSED_CAPTIONING,STANDARD,es-ES,en,en,5,1.4666666666666666,0.5577733510227171,1.0,1.3333333333333333,2.3333333333333335
CLOSED_CAPTIONING,STANDARD,es-ES,en,en-GB,1,1.25,,1.25,1.25,1.25
CLOSED_CAPTIONING,STANDARD,es-ES,en,pt-BR,8,1.875,0.727847446077751,1.0,2.3333333333333335,2.5
CLOSED_CAPTIONING,STANDARD,fi,en,en,2,0.4583333333333333,0.29462782549439476,0.25,0.4583333333333333,0.6666666666666666
CLOSED_CAPTIONING,STANDARD,fr,en,cs,1,2.4285714285714284,,2.4285714285714284,2.4285714285714284,2.4285714285714284
CLOSED_CAPTIONING,STANDARD,fr,en,en,15,0.9531746031746031,0.3896089866897942,0.25,1.0,1.6666666666666667
CLOSED_CAPTIONING,STANDARD,fr,en,pl,1,0.7142857142857143,,0.7142857142857143,0.7142857142857143,0.7142857142857143
CLOSED_CAPTIONING,STANDARD,id,en,en-PH,11,1.8818181818181818,1.4503917965971689,0.7,1.5,6.0
CLOSED_CAPTIONING,STANDARD,it,en,en,32,1.9099702380952381,2.6105537758429564,0.0,0.7083333333333333,9.5
CLOSED_CAPTIONING,STANDARD,it,en,en-GB,1,1.125,,1.125,1.125,1.125
CLOSED_CAPTIONING,STANDARD,it,it,it,8,3.7916666666666665,3.322303178925489,1.3333333333333333,2.25,11.0
CLOSED_CAPTIONING,STANDARD,ja,en,en,152,3.045175438596491,3.31949313908579,0.25,1.5,14.5
CLOSED_CAPTIONING,STANDARD,ko,en,en,65,1.2931623931623932,1.0105752401488468,0.0,1.0,4.0
CLOSED_CAPTIONING,STANDARD,ko,ko,ko,33,1.8762626262626263,1.0781368179950532,0.3333333333333333,2.0,6.333333333333333
CLOSED_CAPTIONING,STANDARD,nb,en,pt-BR,3,3.055555555555556,1.4174834246858972,2.0,2.5,4.666666666666667
CLOSED_CAPTIONING,STANDARD,nl,en,en,1,1.0,,1.0,1.0,1.0
CLOSED_CAPTIONING,STANDARD,pl,en,en,41,2.6794425087108014,2.0153067008937153,0.42857142857142855,2.3333333333333335,9.5
CLOSED_CAPTIONING,STANDARD,pl,en,en-GB,1,0.8571428571428571,,0.8571428571428571,0.8571428571428571,0.8571428571428571
CLOSED_CAPTIONING,STANDARD,pl,en,it,2,1.0714285714285714,0.10101525445522103,1.0,1.0714285714285714,1.1428571428571428
CLOSED_CAPTIONING,STANDARD,pl,en,pt-BR,2,1.2142857142857144,0.10101525445522126,1.1428571428571428,1.2142857142857144,1.2857142857142858
CLOSED_CAPTIONING,STANDARD,pl,pl,pl,17,1.2794117647058822,0.36317128514372,0.75,1.0,2.0
CLOSED_CAPTIONING,STANDARD,ps,en,en,1,2.5,,2.5,2.5,2.5
CLOSED_CAPTIONING,STANDARD,pt-BR,en,en,29,0.9895730706075533,0.5442113039884875,0.25,1.0,2.5
CLOSED_CAPTIONING,STANDARD,pt-BR,en,pt-BR,3,1.9166666666666667,0.6291528696058958,1.25,2.0,2.5
CLOSED_CAPTIONING,STANDARD,pt-BR,pt-BR,pt-BR,23,2.152173913043478,1.2471310951056616,1.0,2.0,6.5
CLOSED_CAPTIONING,STANDARD,th,en,en,12,1.5416666666666667,2.808828973437187,0.0,0.7083333333333333,10.25
CLOSED_CAPTIONING,STANDARD,tr,en,en,1,1.375,,1.375,1.375,1.375
CLOSED_CAPTIONING,STANDARD,zxx,en,ko,1,1.0,,1.0,1.0,1.0
LANGUAGE_TEMPLATE,RUSH,de,de,en,1,1.0,,1.0,1.0,1.0
LANGUAGE_TEMPLATE,RUSH,en,en,en,115,2.018115942028986,1.3420667290965491,0.0,1.5,8.0
LANGUAGE_TEMPLATE,RUSH,ja,en,en,9,3.0,1.118033988749895,2.0,3.0,5.0
LANGUAGE_TEMPLATE,RUSH,pl,pl,en,2,1.125,0.1767766952966369,1.0,1.125,1.25
LANGUAGE_TEMPLATE,RUSH,pt-BR,en,en,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.6666666666666666
LANGUAGE_TEMPLATE,RUSH,pt-BR,en,pt-BR,1,0.5,,0.5,0.5,0.5
LANGUAGE_TEMPLATE,RUSH,pt-BR,pt-BR,en,1,1.0,,1.0,1.0,1.0
LANGUAGE_TEMPLATE,STANDARD,--,en,en,2,1.65,0.21213203435596437,1.5,1.65,1.8
LANGUAGE_TEMPLATE,STANDARD,de,de,en,3,0.6666666666666666,0.1649572197684645,0.5714285714285714,0.5714285714285714,0.8571428571428571
LANGUAGE_TEMPLATE,STANDARD,de,de,en-GB,4,0.6875,0.37500000000000006,0.25,0.75,1.0
LANGUAGE_TEMPLATE,STANDARD,de,en,de,24,1.0600694444444445,0.2198938272744903,0.6666666666666666,1.0,1.5
LANGUAGE_TEMPLATE,STANDARD,de,en,en-GB,1,0.8,,0.8,0.8,0.8
LANGUAGE_TEMPLATE,STANDARD,en,en,en,367,1.9431880108991826,1.3337256109983475,0.2,1.5,9.5
LANGUAGE_TEMPLATE,STANDARD,en,en,en-GB,5,1.0666666666666667,0.4346134936801765,0.6666666666666666,1.0,1.6666666666666667
LANGUAGE_TEMPLATE,STANDARD,en,it,en,2,10.375,0.5303300858899106,10.0,10.375,10.75
LANGUAGE_TEMPLATE,STANDARD,es,es,en,3,1.2777777777777777,0.2545875386086578,1.0,1.3333333333333333,1.5
LANGUAGE_TEMPLATE,STANDARD,fi,fi,en,8,0.8020833333333333,0.6106487247832136,0.25,0.5833333333333333,2.0
LANGUAGE_TEMPLATE,STANDARD,fr,fr,en,8,1.375,0.5473601872653643,0.3333333333333333,1.3333333333333333,2.3333333333333335
LANGUAGE_TEMPLATE,STANDARD,it,en,it,3,1.361111111111111,0.37577081273524127,1.0,1.3333333333333333,1.75
LANGUAGE_TEMPLATE,STANDARD,it,it,en,17,1.4635854341736694,0.5830974770428698,0.5,1.3333333333333333,2.6666666666666665
LANGUAGE_TEMPLATE,STANDARD,ja,en,en,117,3.0166666666666666,1.5702489207295645,0.5,3.0,9.5
LANGUAGE_TEMPLATE,STANDARD,ko,en,en,71,4.116247484909457,3.283226444631295,0.14285714285714285,3.25,11.5
LANGUAGE_TEMPLATE,STANDARD,ko,en,ko,5,0.975,0.4183300132670378,0.5,1.0,1.5
LANGUAGE_TEMPLATE,STANDARD,ko,ko,en,44,1.6621843434343433,1.3912761416386594,0.3333333333333333,1.0,6.0
LANGUAGE_TEMPLATE,STANDARD,pl,en,pl,32,0.9391741071428571,0.44691022244463985,0.0,1.0,2.0
LANGUAGE_TEMPLATE,STANDARD,pl,pl,en,63,1.6080309901738472,1.6393294703078867,0.25,1.0,9.0
LANGUAGE_TEMPLATE,STANDARD,pt-BR,en,en,3,0.5833333333333334,0.3818813079129867,0.25,0.5,1.0
LANGUAGE_TEMPLATE,STANDARD,pt-BR,en,pt-BR,56,1.4202380952380953,0.9464164964243728,0.0,1.0,4.0
LANGUAGE_TEMPLATE,STANDARD,pt-BR,pt-BR,en,35,1.4897278911564626,0.8334581281964758,0.6,1.3333333333333333,4.5
SUBTITLE,RUSH,en,en,cs,24,0.90625,0.6252113169331279,0.0,1.0,2.0
SUBTITLE,RUSH,en,en,de,28,1.0535714285714286,0.208134826062593,1.0,1.0,2.0
SUBTITLE,RUSH,en,en,en,1,1.5,,1.5,1.5,1.5
SUBTITLE,RUSH,en,en,es,1,1.0,,1.0,1.0,1.0
SUBTITLE,RUSH,en,en,fi,2,0.6333333333333333,0.04714045207910316,0.6,0.6333333333333333,0.6666666666666666
SUBTITLE,RUSH,en,en,fil,20,1.7916666666666667,1.4478003077061945,0.5,1.4166666666666665,6.5
