author_anonymous,package_id_new,asset_type,content_category,reason_code,original_audio_language,source_language,target_language,runtime_minutes,start_date,submit_date,due_date,on_time_current,expected_daily_output,num_days_spent,expected_TAT,on_time_actual,tat_coef,tat_coef_comp,tat_coef_std,deliver_score
fAokfuJJ,2358049,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,en,en,77.6,2022-12-30,2023-01-03,2023-01-05,1,30,3.0,3.0,1.0,1.0,2.018115942028986,1.3420667290965491,3
mvhKyAGO,2542729,SUBTITLE,VIDEO,RUSH,en,en,ko,50.6,2023-01-01,2023-01-03,2023-01-04,1,30,2.0,2.0,1.0,1.0,1.8646864686468647,1.7317240720813993,3
rZGZZGpy,2999924,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,cs,56.2,2022-12-29,2023-01-03,2023-01-07,1,30,4.0,2.0,0.0,2.0,3.25,2.1505813167606567,2
dVDXTnCC,2696090,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,en,en,46.9,2022-12-31,2023-01-03,2023-01-03,1,30,2.0,2.0,1.0,1.0,2.018115942028986,1.3420667290965491,3
MRGfUiUU,2064402,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,cs,55.0,2022-12-31,2023-01-04,2023-01-07,1,30,3.0,2.0,0.0,1.5,3.25,2.1505813167606567,2
MRGfUiUU,2680958,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,cs,49.1,2023-01-04,2023-01-05,2023-01-07,1,30,2.0,2.0,1.0,1.0,3.25,2.1505813167606567,3
rZGZZGpy,2414236,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,cs,53.9,2023-01-02,2023-01-05,2023-01-07,1,30,4.0,2.0,0.0,2.0,3.25,2.1505813167606567,2
dVDXTnCC,2322327,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,en,en,51.0,2022-12-31,2023-01-05,2023-01-05,1,30,4.0,2.0,0.0,2.0,2.018115942028986,1.3420667290965491,2
TtkoCbBq,2014391,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,hu,48.1,2023-01-01,2023-01-05,2023-01-13,1,30,4.0,2.0,0.0,2.0,2.25,1.2583057392117916,2
MRGfUiUU,2089687,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,cs,52.3,2022-12-23,2023-01-06,2023-01-07,1,30,11.0,2.0,0.0,5.5,3.25,2.1505813167606567,0
DJisFRJQ,2485303,SUBTITLE,VIDEO,RUSH,en,en,ko,46.9,2022-12-28,2023-01-06,2023-01-06,1,30,8.0,2.0,0.0,4.0,1.8646864686468647,1.7317240720813993,0
TtkoCbBq,2906279,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,hu,45.5,2023-01-05,2023-01-07,2023-01-13,1,30,2.0,2.0,1.0,1.0,2.25,1.2583057392117916,3
dVDXTnCC,2454666,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,en,en,48.3,2023-01-05,2023-01-07,2023-01-07,1,30,2.0,2.0,1.0,1.0,2.018115942028986,1.3420667290965491,3
DJisFRJQ,2831309,SUBTITLE,VIDEO,RUSH,en,en,ko,44.3,2023-01-01,2023-01-08,2023-01-09,1,30,5.0,2.0,0.0,2.5,1.8646864686468647,1.7317240720813993,1
DJisFRJQ,2531901,SUBTITLE,VIDEO,RUSH,en,en,ko,45.7,2023-01-08,2023-01-09,2023-01-09,1,30,1.0,2.0,1.0,0.5,1.8646864686468647,1.7317240720813993,3
mvhKyAGO,2441115,SUBTITLE,VIDEO,RUSH,en,en,ko,47.3,2023-01-05,2023-01-09,2023-01-09,1,30,3.0,2.0,0.0,1.5,1.8646864686468647,1.7317240720813993,2
TtkoCbBq,2119862,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,hu,50.1,2023-01-07,2023-01-12,2023-01-13,1,30,4.0,2.0,0.0,2.0,2.25,1.2583057392117916,2
mvhKyAGO,2358049,SUBTITLE,VIDEO,RUSH,en,en,ko,77.6,2023-01-09,2023-01-12,2023-01-12,1,30,4.0,3.0,0.0,1.3333333333333333,1.8646864686468647,1.7317240720813993,2
OdOfgsyS,2358049,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,en,77.6,2023-01-10,2023-01-13,2023-01-13,1,60,4.0,2.0,0.0,2.0,2.4482758620689653,1.500554444818074,2
dVDXTnCC,2292427,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,en,en,44.6,2023-01-07,2023-01-14,2023-01-15,1,30,5.0,2.0,0.0,2.5,2.018115942028986,1.3420667290965491,1
SnOkBSsK,2696090,SUBTITLE,VIDEO,RUSH,en,en,ko,46.9,2023-01-10,2023-01-16,2023-01-17,1,30,5.0,2.0,0.0,2.5,1.8646864686468647,1.7317240720813993,1
dVDXTnCC,2593330,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,en,en,44.4,2023-01-12,2023-01-17,2023-01-17,1,30,4.0,2.0,0.0,2.0,2.018115942028986,1.3420667290965491,2
OdOfgsyS,2542729,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,en,52.6,2023-01-13,2023-01-18,2023-01-17,0,60,4.0,1.0,0.0,4.0,2.4482758620689653,1.500554444818074,0
SnOkBSsK,2322327,SUBTITLE,VIDEO,RUSH,en,en,ko,51.0,2023-01-14,2023-01-18,2023-01-19,1,30,3.0,2.0,0.0,1.5,1.8646864686468647,1.7317240720813993,2
dVDXTnCC,2527243,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,en,en,43.9,2023-01-18,2023-01-19,2023-01-19,1,30,2.0,2.0,1.0,1.0,2.018115942028986,1.3420667290965491,3
SnOkBSsK,2454666,SUBTITLE,VIDEO,RUSH,en,en,ko,48.3,2023-01-14,2023-01-20,2023-01-21,1,30,5.0,2.0,0.0,2.5,1.8646864686468647,1.7317240720813993,1
dVDXTnCC,2294298,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,en,en,43.9,2023-01-20,2023-01-23,2023-01-23,1,30,2.0,2.0,1.0,1.0,2.018115942028986,1.3420667290965491,3
SnOkBSsK,2292427,SUBTITLE,VIDEO,RUSH,en,en,ko,44.6,2023-01-17,2023-01-23,2023-01-24,1,30,5.0,2.0,0.0,2.5,1.8646864686468647,1.7317240720813993,1
