author_anonymous,runtime_minutes,num_days_spent,tat_coef,deliver_score
BRPrdFqH,88.3,13.0,2.1666666666666665,0.0
mRzoESsY,63.8,12.0,2.4,0.0
VPehSWVc,271.1,7.916666666666667,3.9583333333333335,0.3333333333333333
VafxRaSZ,975.9,18.93103448275862,6.747126436781609,0.6551724137931034
qYbdeeIr,234.1,6.6,3.3,0.8
zNDBxYEJ,1850.7,13.660377358490566,5.360062893081761,0.8113207547169812
WNAijRvn,1592.3,11.25,5.477380952380953,0.8653846153846154
sViwLcJM,323.5,6.25,2.1875,0.875
WwuFZnxe,667.6,7.470588235294118,2.3921568627450984,0.8823529411764706
qAMQcXqJ,304.8,8.727272727272727,4.118181818181818,0.9090909090909091
WRAWzIrn,672.0,16.818181818181817,5.017906336088154,0.9090909090909091
ZNZzKLfl,621.8,9.214285714285714,3.6466836734693877,0.9285714285714286
jjxdCCWJ,1122.0,9.048780487804878,4.40650406504065,0.9512195121951219
GOUvAcfB,1940.9,8.96103896103896,5.832096474953618,0.974025974025974
cABGcJlP,3417.7,19.98148148148148,4.408406819517931,0.9814814814814815
PcHJSrVl,126.0,10.0,1.1111111111111112,1.0
RuOzqNiH,129.7,9.0,2.861111111111111,1.0
tfoPnZuJ,221.5,6.0,2.2857142857142856,1.0
CyAWTHXE,233.1,8.75,2.363095238095238,1.0
GHXocEJi,78.7,8.333333333333334,3.5,1.0
xfjjRRrQ,283.5,9.0,4.336363636363637,1.0909090909090908
rnkzBteG,6342.6,8.684931506849315,4.697301043705153,1.1095890410958904
ckwekabS,818.9,5.172413793103448,4.827586206896552,1.1379310344827587
VsirWTON,1550.9,11.404255319148936,5.376595744680851,1.1702127659574468
jTlbXAOR,781.1,8.535714285714286,4.101530612244898,1.1785714285714286
IBwQfgDo,858.4,7.172413793103448,3.351532567049808,1.206896551724138
dfkGIFVJ,688.6,6.684210526315789,2.5701754385964914,1.2105263157894737
wYlOFkvK,1368.8,7.931818181818182,3.085227272727273,1.2272727272727273
ZWurdngV,492.0,4.176470588235294,1.8366013071895424,1.2352941176470589
YASNHYqQ,158.5,9.75,3.5416666666666665,1.25
ceitdOgW,1131.5,6.394736842105263,3.7281223893066,1.263157894736842
xcHVVtiP,1404.1,13.115384615384615,4.449404761904762,1.2692307692307692
XdgpWCZa,844.0,5.523809523809524,2.0249433106575965,1.2857142857142858
WQPkGXlN,2332.7,6.45,3.041547619047619,1.3
OtpIcFVk,2850.9,12.458333333333334,3.22296626984127,1.3125
mUEzxokC,1743.5,12.235294117647058,5.574463118580765,1.3137254901960784
kptrGjex,935.9,9.161290322580646,4.204301075268818,1.3225806451612903
LEJgSjsL,69.8,4.333333333333333,2.1666666666666665,1.3333333333333333
HBslHtUW,432.2,4.875,2.0208333333333335,1.375
yMsxOmMP,1500.9,12.27027027027027,4.776383526383526,1.3783783783783783
TJfKlJuE,679.9,12.444444444444445,5.411375661375661,1.3888888888888888
sMsYLHQe,286.9,7.0,1.75,1.4
uQFknoRs,771.7,5.095238095238095,2.6343537414965987,1.4285714285714286
dPtzGUui,1755.0,4.431034482758621,2.2953612479474548,1.4310344827586208
mulWiQdo,2762.3,10.393939393939394,3.639772727272727,1.4393939393939394
rLkpyeas,1585.2,5.379310344827586,3.1426724137931035,1.4482758620689655
wNBOFfRz,1296.2,12.15,2.824047619047619,1.45
JUjLqZeI,1421.1,5.887096774193548,3.2974910394265233,1.467741935483871
gRwGNFns,1225.6,7.7407407407407405,2.04700176366843,1.4814814814814814
kophEtaF,1342.5,5.930232558139535,2.5988372093023258,1.4883720930232558
pFpKlSnK,163.8,10.5,1.8714285714285714,1.5
qIOMGyhq,164.0,7.5,1.3125,1.5
Zdwntbuh,470.7,7.625,1.74375,1.5
tCozbJWk,121.2,7.0,1.525,1.5
NSgUcJMT,46.0,4.0,2.0,1.5
xvbfKbjv,2539.4,6.94,1.971968253968254,1.5
eVksktuA,1771.8,7.256410256410256,2.49993894993895,1.5128205128205128
ypLrCyFJ,2759.8,7.256756756756757,2.553732303732304,1.527027027027027
BaJvMdMC,659.6,5.352941176470588,2.0588235294117645,1.5294117647058822
tzzGosVx,1443.6,8.9375,2.559672619047619,1.53125
igjaHklY,1311.5,7.633333333333334,2.9390079365079362,1.5333333333333334
UZLaMaqX,1112.1,7.2272727272727275,1.968939393939394,1.5454545454545454
WEtiARaR,1995.1000000000001,5.711538461538462,2.180128205128205,1.5576923076923077
uIBKnhGN,2798.3,6.6440677966101696,2.5826338444982513,1.5593220338983051
RcOHRUut,509.6,11.0,2.1357142857142857,1.5714285714285714
YJXrxzcY,903.7,3.630434782608696,2.05861801242236,1.5869565217391304
iHUDfvPN,240.4,3.235294117647059,2.5294117647058822,1.588235294117647
zNywUSIH,2361.7,7.508196721311475,2.5305100182149363,1.5901639344262295
vpkcndNu,4439.9,7.563218390804598,2.162515964240102,1.5977011494252873
gYNitSTB,4662.3,6.756756756756757,3.0464929214929217,1.6013513513513513
guLFSfFV,1782.3,4.703703703703703,2.3859053497942386,1.6296296296296295
HdPLKSbe,714.0,12.0,5.350125313283208,1.631578947368421
YLkCoBxe,1837.2,6.488888888888889,2.1666666666666665,1.6444444444444444
JJxwqjmy,2018.5,19.192307692307693,3.2972069597069598,1.6538461538461537
sPKeWZCV,1174.1,6.277777777777778,1.5731481481481482,1.6666666666666667
RPNKwHhO,177.9,6.333333333333333,3.6666666666666665,1.6666666666666667
IgajnSmZ,717.2,3.9444444444444446,1.3379629629629628,1.6666666666666667
YAwgUutE,1961.7,3.6964285714285716,2.146471088435374,1.6964285714285714
amMHvyaz,1456.3,4.205882352941177,1.7124299719887954,1.7058823529411764
XOvksCEn,806.7,4.764705882352941,1.7205882352941178,1.7058823529411764
WHJacfLd,2667.4,9.606060606060606,3.886237373737374,1.7121212121212122
SpDswDiq,2807.8,10.233333333333333,2.6184722222222225,1.7333333333333334
LWvSzWRE,4666.6,8.579710144927537,3.9883454106280194,1.7391304347826086
jtFrfRkh,183.6,8.5,2.375,1.75
yMKRmGEV,230.8,4.5,1.0625,1.75
zhRRwKMw,1784.6,4.7317073170731705,1.4882113821138212,1.7560975609756098
fHTPvYur,3487.6,6.514285714285714,2.207517006802721,1.8
LQVSJeWk,6605.5,5.695652173913044,1.8272577146800748,1.8012422360248448
eRsoQVrx,2001.2,4.589285714285714,1.845578231292517,1.8035714285714286
MNcqnEfy,14078.5,7.468842729970326,3.3340386698695306,1.804154302670623
OUihEpno,5201.5,4.486486486486487,1.3702488202488203,1.8198198198198199
cEztSEFC,188.3,5.666666666666667,1.9722222222222223,1.8333333333333333
pLFsjPXq,1604.2,3.32,1.9553333333333334,1.84
hSOtjuVE,835.5,6.0625,2.9770833333333333,1.84375
HFgjmoMI,3166.8,7.037735849056604,1.767273135669362,1.849056603773585
