| author_anonymous | package_id_new | asset_type        | content_category | reason_code | original_audio_language | source_language | target_language | runtime_minutes | start_date | submit_date | due_date   | on_time_current | expected_daily_output | num_days_spent | expected_TAT | on_time_actual | tat_coef | tat_coef_comp      | tat_coef_std       | deliver_score |     |
| ---------------- | -------------- | ----------------- | ---------------- | ----------- | ----------------------- | --------------- | --------------- | --------------- | ---------- | ----------- | ---------- | --------------- | --------------------- | -------------- | ------------ | -------------- | -------- | ------------------ | ------------------ | ------------- | --- |
| ENffELrC         | 2916470        | LANGUAGE_TEMPLATE | VIDEO            | RUSH        | en                      | en              | en              | 77.6            | 2022-12-30 | 2023-01-03  | 2023-01-05 | 1               | 30                    | 3.0            | 3.0          | 1.0            | 1.0      | 2.078              | 1.3481927369311772 | 3             |     |
| dbHfZflx         | 2345377        | SUBTITLE          | VIDEO            | RUSH        | en                      | en              | ko              | 50.6            | 2023-01-01 | 2023-01-03  | 2023-01-04 | 1               | 30                    | 2.0            | 2.0          | 1.0            | 1.0      | 1.7710084033613445 | 1.6463528461124062 | 3             |     |
| uPhKPRSO         | 2754643        | CLOSED_CAPTIONING | VIDEO            | RUSH        | en                      | en              | cs              | 56.2            | 2022-12-29 | 2023-01-03  | 2023-01-07 | 1               | 30                    | 4.0            | 2.0          | 0.0            | 2.0      | 3.25               | 2.1505813167606567 | 2             |     |
| eFKprdtC         | 2395417        | LANGUAGE_TEMPLATE | VIDEO            | RUSH        | en                      | en              | en              | 46.9            | 2022-12-31 | 2023-01-03  | 2023-01-03 | 1               | 30                    | 2.0            | 2.0          | 1.0            | 1.0      | 2.078              | 1.3481927369311772 | 3             |     |
| jErsnGvu         | 2939493        | CLOSED_CAPTIONING | VIDEO            | RUSH        | en                      | en              | cs              | 55.0            | 2022-12-31 | 2023-01-04  | 2023-01-07 | 1               | 30                    | 3.0            | 2.0          | 0.0            | 1.5      | 3.25               | 2.1505813167606567 | 2             |     |
| jErsnGvu         | 2185907        | CLOSED_CAPTIONING | VIDEO            | RUSH        | en                      | en              | cs              | 49.1            | 2023-01-04 | 2023-01-05  | 2023-01-07 | 1               | 30                    | 2.0            | 2.0          | 1.0            | 1.0      | 3.25               | 2.1505813167606567 | 3             |     |
| uPhKPRSO         | 2740263        | CLOSED_CAPTIONING | VIDEO            | RUSH        | en                      | en              | cs              | 53.9            | 2023-01-02 | 2023-01-05  | 2023-01-07 | 1               | 30                    | 4.0            | 2.0          | 0.0            | 2.0      | 3.25               | 2.1505813167606567 | 2             |     |
| eFKprdtC         | 2882830        | LANGUAGE_TEMPLATE | VIDEO            | RUSH        | en                      | en              | en              | 51.0            | 2022-12-31 | 2023-01-05  | 2023-01-05 | 1               | 30                    | 4.0            | 2.0          | 0.0            | 2.0      | 2.078              | 1.3481927369311772 | 2             |     |
| ...              | ...            | ...               | ...              | ...         | ...                     | ...             | ...             | ...             | ...        | ...         | ...        | ...             | ...                   | ...            | ...          | ...            | ...      | ...                | ...                | ...           |     |
